sku;descripcion;marca;id_categoria;presentacion;unidadcm3;unidadkg;id_proveedor
1978;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1979;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1980;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1981;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1982;GRIDXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1983;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;561.22400000000005;2
1984;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;5;2
1985;CAPPXX-XX-X-XXXRIDO;GRIDO;44;Unidades;0.80000000000000004;7.7999999999999998;2
1986;LEMOXX-XX-X-XXXRIDO;GRIDO;45;Unidades;0;7.7999999999999998;2
1987;GRIDXX-XX-X-XXXnid.;GRIDO;94;Unidades;0.83330000000000004;0;3
1988;GRIDXX-XX-X-XXXnid.;GRIDO;94;No Asignada;0.83330000000000004;0;3
1989;TERMXX-XX-X-XXXnid.;GRIDO;70;Unidades;10;0;3
1990;EST.XX-XX-X-XXXNID.;GRIDO;71;No Asignada;5;5;3
1991;LATEXX-XX-X-XXX LTS;SIN DEFINIR;73;No Asignada;2.0832999999999999;0;3
1992;LATEXX-XX-X-XXX LTS;SIN DEFINIR;73;No Asignada;2.0832999999999999;0;3
1993;PAÑOXX-XX-X-XXX32cm;SIN DEFINIR;77;No Asignada;1;1.04;3
1994;SILLXX-XX-X-XXXnid.;SIN DEFINIR;100;No Asignada;16;0;3
1995;MESAXX-XX-X-XXXUNID;SIN DEFINIR;100;Unidades;8.3330000000000002;0;3
1996;GEL XX-XX-X-XXXnid.;SIN DEFINIR;73;No Asignada;5;5;3
1997;MOPAXX-XX-X-XXX0 GR;SIN DEFINIR;77;No Asignada;0.20000000000000001;0.17000000000000001;3
1998;MANGXX-XX-X-XXXRSAL;SIN DEFINIR;77;No Asignada;8.0000000000000002E-2;0;3
2003;CEPIXX-XX-X-XXX0 CM;SIN DEFINIR;77;No Asignada;0.5;0.45000000000000001;3
2004;ORGAXX-XX-X-XXX3 CM;SIN DEFINIR;77;No Asignada;0.222;0.20000000000000001;3
2005;TV LXX-XX-X-XXX5410;SIN DEFINIR;97;No Asignada;5.5556000000000001;12.06;3
2006;SOPOXX-XX-X-XXX410);SIN DEFINIR;97;Unidades;5;5;3
2007;VASOXX-XX-X-XXXCIÓN;SIN DEFINIR;65;Unidades;1;0;3
2008;PACKXX-XX-X-XXXgrs0;FRIZZIO;112;Pack;1.042;6.0800000000000001;2
2009;PACKXX-XX-X-XXX GRS;FRIZZIO;112;Pack;1.1899999999999999;6.0800000000000001;2
2010;GRIDXX-XX-X-XXXEST.;GRIDO;94;No Asignada;0.64939999999999998;0;3
2011;BAÑOXX-XX-X-XXX6074;SIN DEFINIR;68;Unidades;1.5629999999999999;10;3
2012;FRUTXX-XX-X-XXXEXPO;SIN DEFINIR;38;Unidades;0.80000000000000004;7.7999999999999998;2
2013;CUCHXX-XX-X-XXXack);GRIDO;85;No Asignada;5;5;3
2015;SORBXX-XX-X-XXXnid.;SIN DEFINIR;85;Unidades;0.30299999999999999;0.32000000000000001;3
2016;BANAXX-XX-X-XXXBANA;VIA BANA;48;Baldes;1.4080000000000001E-2;6;2
2020;PUREXX-XX-X-XXXnid.;SIN DEFINIR;66;No Asignada;0.41699999999999998;3.8399999999999999;3
2021;PUREXX-XX-X-XXXnid.;SIN DEFINIR;66;No Asignada;0.41699999999999998;3.8199999999999998;3
2022;PUREXX-XX-X-XXXnid.;SIN DEFINIR;66;No Asignada;0.41699999999999998;3.7999999999999998;3
2023;PLOTXX-XX-X-XXX0x60;SIN DEFINIR;95;No Asignada;0;0.13;3
2024;AFICXX-XX-X-XXXTORE;SIN DEFINIR;79;No Asignada;5;5;3
2025;FLY XX-XX-X-XXX mts;GRIDO;95;Unidades;1;1.8300000000000001;3
2026;FLY XX-XX-X-XXX mts;FRIZZIO;95;Unidades;1;1.8600000000000001;3
2028;EXHIXX-XX-X-XXXNID.;SIN DEFINIR;69;Unidades;6.25;0;3
2029;KIT XX-XX-X-XXXlub);GRIDO;79;Unidades;5;5;3
2030;PLOTXX-XX-X-XXXNCO);SIN DEFINIR;95;Unidades;4.0000000000000001E-2;0;3
2031;GEL XX-XX-X-XXXUnid;SIN DEFINIR;73;Unidades;0.22220000000000001;0;3
2032;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;681.61199999999997;2
2036;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;677.06799999999998;2
2040;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;718.33199999999999;2
2041;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;763.22000000000003;2
2046;CUBAXX-XX-X-XXXnid.;SIN DEFINIR;66;No Asignada;0.1042;0.46000000000000002;3
